账户,日期,时间,Symbol,操作,数量,成交价,佣金税费,操作前持仓,操作前成本,操作后持仓,操作后成本,备注
U12672188,20250407,20250407;151956,SGOV,卖出,4000.0,100.412,26.82,4498.1882,100.4967,498.1882,100.4967,
U12672188,20250407,20250407;151956,SGOV,卖出,500.0,100.4118,3.35,498.1882,100.4967,0.0,0.0,
U12672188,20250407,20250407;151956,SGOV,卖出,0.1882,100.41,0.0,0.0,0.0,0.0,0.0,
U12672188,20250407,20250407;154952,XIACY,买入,500.0,23.34,1.85,0.0,0.0,500.0,23.3437,
U12672188,20250408,20250408;154805,XPEV,卖出,600.0,16.205,2.62,20000.0,17.3356,19400.0,17.3356,
U12672188,20250408,20250408;154805,XPEV,卖出,2.0,16.205,0.01,19400.0,17.3356,19398.0,17.3356,
U12672188,20250409,20250409;163553,SGOV,买入,1900.0,100.44,7.12,0.0,0.0,1900.0,100.4437,
U12672188,20250410,20250410;090548,SGOV,买入,100.0,100.45,0.37,1900.0,100.4437,2000.0,100.4442,
U12672188,20250410,20250410;090548,SGOV,买入,140.0,100.45,0.52,2000.0,100.4442,2140.0,100.4449,
U12672188,20250410,20250410;091455,SGOV,买入,220.0,100.45,0.47,2140.0,100.4449,2360.0,100.4455,
U12672188,20250410,20250410;154223,XPEV,买入,103.0,18.0,0.26,19398.0,17.3356,19501.0,17.3391,
U12672188,20250410,20250410;154223,XPEV,买入,55.0,18.0,0.14,19501.0,17.3391,19556.0,17.341,
U12672188,20250410,20250410;154223,XPEV,买入,290.0,18.0,0.74,19556.0,17.341,19846.0,17.3507,
U12672188,20250410,20250410;154223,XPEV,买入,39.0,18.0,0.1,19846.0,17.3507,19885.0,17.352,
U12672188,20250410,20250410;154224,XPEV,买入,1776.0,18.0,4.51,19885.0,17.352,21661.0,17.4053,
U12672188,20250410,20250410;154224,XPEV,买入,250.0,18.0,0.63,21661.0,17.4053,21911.0,17.4121,
U12672188,20250410,20250410;154224,XPEV,买入,1666.0,18.0,4.23,21911.0,17.4121,23577.0,17.4538,
U12672188,20250410,20250410;154224,XPEV,买入,1.0,18.0,0.0,23577.0,17.4538,23578.0,17.4539,
U12672188,20250410,20250410;154224,XPEV,买入,253.0,18.0,0.64,23578.0,17.4539,23831.0,17.4597,
U12672188,20250410,20250410;154224,XPEV,买入,567.0,18.0,1.44,23831.0,17.4597,24398.0,17.4723,
U12672188,20250424,20250424;123311,JEPQ,买入,6.0,50.45,0.34,606.0738,52.8115,612.0738,52.7889,
U12672188,20250424,20250424;123311,JEPQ,买入,11.0,50.45,0.02,612.0738,52.7889,623.0738,52.7477,
U12672188,20250424,20250424;123311,JEPQ,买入,344.0,50.45,0.27,623.0738,52.7477,967.0738,51.9306,
U12672188,20250424,20250424;123311,JEPQ,买入,17.0,50.45,0.03,967.0738,51.9306,984.0738,51.9051,
U12672188,20250424,20250424;123311,JEPQ,买入,22.0,50.45,0.04,984.0738,51.9051,1006.0738,51.8733,
U12672188,20250424,20250424;123741,VOO,买入,20.0,501.15,0.32,0.0,0.0,20.0,501.1661,
U12672188,20250501,20250501;093217,QQQ,买入,0.5339,482.58,0.26,400.0,488.3225,400.5339,488.3155,
U12672188,20250506,20250506;093203,JEPQ,买入,10.5711,51.21,0.35,1006.0738,51.8733,1016.6449,51.8668,
U12672188,20250507,20250507;093000,SGOV,买入,7.0845,100.43,0.35,2360.0,100.4455,2367.0845,100.4456,
U12672188,20250516,20250516;183444,NVDA,买入,700.0,133.0,0.38,300.0,106.5888,1000.0,125.077,
U12672188,20250523,20250523;072638,AAPL,买入,100.0,195.0,0.37,0.0,0.0,100.0,195.0037,
U12672188,20250527,20250527;020617,XPEV,买入,39.0,19.3,0.44,24398.0,17.4723,24437.0,17.4752,
U12672188,20250527,20250527;020617,XPEV,买入,10.0,19.3,0.02,24437.0,17.4752,24447.0,17.476,
U12672188,20250527,20250527;020617,XPEV,买入,101.0,19.29,0.4,24447.0,17.476,24548.0,17.4835,
U12672188,20250527,20250527;020617,XPEV,买入,252.0,19.29,1.45,24548.0,17.4835,24800.0,17.5019,
U12672188,20250527,20250527;020617,XPEV,买入,200.0,19.3,1.15,24800.0,17.5019,25000.0,17.5163,
U12672188,20250528,20250527;202053,SGOV,卖出,200.0,100.66,1.18,2367.0845,100.4456,2167.0845,100.4456,
U12672188,20250528,20250528;191146,NVDA,卖出,100.0,141.15,0.39,1000.0,125.077,900.0,125.077,
U12672188,20250528,20250528;191146,NVDA,卖出,100.0,141.14,0.69,900.0,125.077,800.0,125.077,
U12672188,20250528,20250528;191146,NVDA,卖出,700.0,141.09,2.74,800.0,125.077,100.0,125.077,
U12672188,20250529,20250529;073256,JEPQ,买入,100.0,53.0,0.05,1016.6449,51.8668,1116.6449,51.9683,
U12672188,20250602,20250602;111046,JEPQ,买入,100.0,51.995,0.37,1116.6449,51.9683,1216.6449,51.9708,
U12672188,20250602,20250602;112902,SGOV,买入,1450.0,100.375,5.44,2167.0845,100.4456,3617.0845,100.4188,
U12672188,20250603,20250603;130246,SGOV,买入,220.0,100.385,0.82,3617.0845,100.4188,3837.0845,100.4171,
U12672188,20250605,20250605;093210,JEPQ,买入,11.8621,52.59,0.35,1216.6449,51.9708,1228.507,51.9771,
U12672188,20250605,20250605;162000,AAPL,买入,1000.0,225.0,0.0,100.0,195.0037,1100.0,203.0682,Put行权(AAPL  250620P00225000)
U12672188,20250606,20250606;093310,SGOV,买入,6.9506,100.45,0.35,3837.0845,100.4171,3844.0351,100.4173,
U12672188,20250606,20250606;103836,SGOV,卖出,1700.0,100.442,6.65,3844.0351,100.4173,2144.0351,100.4173,
U12672188,20250612,20250612;102725,SGOV,买入,65.0,100.49,0.37,2144.0351,100.4173,2209.0351,100.4196,
U12672188,20250612,20250612;102725,SGOV,买入,200.0,100.49,0.3,2209.0351,100.4196,2409.0351,100.4255,
U12672188,20250612,20250612;102725,SGOV,买入,40.0,100.49,0.09,2409.0351,100.4255,2449.0351,100.4266,
U12672188,20250612,20250612;102725,SGOV,买入,100.0,100.49,0.37,2449.0351,100.4266,2549.0351,100.4293,
U12672188,20250612,20250612;102725,SGOV,买入,410.0,100.49,0.88,2549.0351,100.4293,2959.0351,100.438,
U12672188,20250612,20250612;102725,SGOV,买入,35.0,100.49,0.13,2959.0351,100.438,2994.0351,100.4386,
U12672188,20250613,20250613;142931,MSFT,卖出,20.0,474.08,0.42,25.0,386.0243,5.0,386.0243,
U12672188,20250613,20250613;142931,MSFT,卖出,5.0,474.08,0.0,5.0,386.0243,0.0,0.0,
U12672188,20250613,20250613;151533,JEPI,买入,142.0,56.045,0.53,0.0,0.0,142.0,56.0487,
U12672188,20250613,20250613;151533,JEPI,买入,58.0,56.048,0.22,142.0,56.0487,200.0,56.0496,
U12672188,20250616,20250616;093143,MSFT,买入,0.039,477.92,0.02,0.0,0.0,0.039,478.3985,
U12672188,20250618,20250618;142645,SGOV,卖出,100.0,100.565,0.39,2994.0351,100.4386,2894.0351,100.4386,
U12672188,20250625,20250625;094510,NVO,买入,100.0,68.49,0.25,0.0,0.0,100.0,68.4925,
U12672188,20250625,20250625;094626,MSFT,卖出,0.039,492.92,0.19,0.039,478.3985,0.0,0.0,
U12672188,20250626,20250626;144102,XPEV,买入,1000.0,18.0,2.54,25000.0,17.5163,26000.0,17.535,
U12672188,20250701,20250701;093201,SPLG,买入,0.5315,72.56,0.04,200.5928,66.2975,201.1243,66.3142,
U12672188,20250703,20250703;093140,VOO,买入,0.0548,572.79,0.03,20.0,501.1661,20.0548,501.3634,
U12672188,20250707,20250707;093103,JEPQ,买入,10.1011,54.09,0.35,1228.507,51.9771,1238.6081,51.9946,
U12672188,20250707,20250707;093403,JEPI,买入,1.2653,56.84,0.07,200.0,56.0496,201.2653,56.0549,
U12672188,20250708,20250708;093000,SGOV,买入,9.0019,100.45,0.35,2894.0351,100.4386,2903.037,100.4388,
U12672188,20250716,20250716;140844,QQQ,买入,10.0,556.34,0.34,400.5339,488.3155,410.5339,489.9733,
U12672188,20250716,20250716;141025,SGOV,卖出,20.0,100.54,0.33,2903.037,100.4388,2883.037,100.4388,
U12672188,20250716,20250716;141735,VOO,买入,10.0,572.86,0.34,20.0548,501.3634,30.0548,525.1634,
U12672188,20250716,20250716;141843,JEPQ,买入,100.0,54.475,0.37,1238.6081,51.9946,1338.6081,52.1802,
U12672188,20250716,20250716;141948,SGOV,卖出,110.0,100.54,0.41,2883.037,100.4388,2773.037,100.4388,
U12672188,20250716,20250716;142033,SGOV,卖出,10.0,100.54,0.34,2773.037,100.4388,2763.037,100.4388,
U12672188,20250718,20250718;101531,XPEV,买入,17.0,18.5,0.33,26000.0,17.535,26017.0,17.5356,
U12672188,20250718,20250718;101531,XPEV,买入,983.0,18.5,2.19,26017.0,17.5356,27000.0,17.5708,
U12672188,20250723,20250723;040911,BOXX,买入,110.0,112.95,0.74,0.0,0.0,110.0,112.9567,
U12672188,20250723,20250723;040911,BOXX,买入,1000.0,112.95,6.67,110.0,112.9567,1110.0,112.9567,
U12672188,20250723,20250723;040911,BOXX,买入,500.0,112.95,3.34,1110.0,112.9567,1610.0,112.9567,
U12672188,20250723,20250723;040911,BOXX,买入,190.0,112.95,1.28,1610.0,112.9567,1800.0,112.9567,
U12672188,20250724,20250724;041432,BOXX,买入,10.0,112.94,0.34,1800.0,112.9567,1810.0,112.9568,
U12672188,20250724,20250724;041745,BOXX,买入,1.0,112.94,0.0,1810.0,112.9568,1811.0,112.9568,
U12672188,20250724,20250724;043801,BOXX,买入,1.0,112.94,0.0,1811.0,112.9568,1812.0,112.9568,
U12672188,20250724,20250724;055709,BOXX,买入,16.0,112.94,0.02,1812.0,112.9568,1828.0,112.9566,
U12672188,20250724,20250724;061625,BOXX,买入,18.0,112.94,0.02,1828.0,112.9566,1846.0,112.9565,
U12672188,20250724,20250724;062658,BOXX,买入,4.0,112.94,0.01,1846.0,112.9565,1850.0,112.9564,
U12672188,20250724,20250724;115658,XPEV,买入,600.0,19.17,2.24,27000.0,17.5708,27600.0,17.6057,
U12672188,20250724,20250724;115658,XPEV,买入,400.0,19.168,1.49,27600.0,17.6057,28000.0,17.6281,
U12672188,20250724,20250724;121150,AMD,买入,400.0,162.5,0.97,0.0,0.0,400.0,162.5024,
U12672188,20250724,20250724;133307,NVO,买入,237.0,70.715,0.88,100.0,68.4925,337.0,70.0581,
U12672188,20250724,20250724;144553,SPY,买入,40.0,635.0,0.3,0.0,0.0,40.0,635.0074,
U12672188,20250725,20250725;121247,IBKR,买入,1.0,65.56,0.35,0.0,0.0,1.0,65.9135,
U12672188,20250725,20250725;121247,IBKR,买入,99.0,65.56,0.32,1.0,65.9135,100.0,65.5667,
U12672188,20250725,20250725;144010,AMD,卖出,400.0,167.0,1.04,400.0,162.5024,0.0,0.0,
U12672188,20250730,20250730;092517,XPEV,买入,333.0,18.0,0.64,28000.0,17.6281,28333.0,17.6325,
U12672188,20250730,20250730;092517,XPEV,买入,667.0,18.0,1.28,28333.0,17.6325,29000.0,17.6409,
U12672188,20250730,20250730;101608,XIACY,买入,200.0,34.76,0.74,500.0,23.3437,700.0,26.6066,
U12672188,20250730,20250730;104601,CGTL,买入,100.0,0.9074,0.37,0.0,0.0,100.0,0.9111,
U12672188,20250730,20250730;154847,XIACY,买入,200.0,34.5,0.64,700.0,26.6066,900.0,28.3614,
U12672188,20250731,20250731;040000,BOXX,买入,10.0,113.05,0.04,1850.0,112.9564,1860.0,112.957,
U12672188,20250731,20250731;040000,BOXX,买入,100.0,113.05,0.37,1860.0,112.957,1960.0,112.9619,
U12672188,20250731,20250731;040110,BOXX,买入,325.0,113.05,0.17,1960.0,112.9619,2285.0,112.9745,
U12672188,20250731,20250731;040156,BOXX,买入,325.0,113.05,0.17,2285.0,112.9745,2610.0,112.984,
U12672188,20250731,20250731;040158,BOXX,买入,210.0,113.05,0.11,2610.0,112.984,2820.0,112.9889,
U12672188,20250731,20250731;040247,BOXX,买入,105.0,113.05,0.06,2820.0,112.9889,2925.0,112.9911,
U12672188,20250731,20250731;040334,BOXX,买入,55.0,113.05,0.03,2925.0,112.9911,2980.0,112.9922,
U12672188,20250731,20250731;040803,BOXX,买入,50.0,113.05,0.03,2980.0,112.9922,3030.0,112.9932,
U12672188,20250731,20250731;042316,BOXX,买入,9.0,113.05,0.0,3030.0,112.9932,3039.0,112.9934,
U12672188,20250731,20250731;042555,BOXX,买入,5.0,113.05,0.0,3039.0,112.9934,3044.0,112.9935,
U12672188,20250731,20250731;042905,BOXX,买入,1.0,113.05,0.0,3044.0,112.9935,3045.0,112.9935,
U12672188,20250731,20250731;043020,BOXX,买入,1.0,113.05,0.0,3045.0,112.9935,3046.0,112.9935,
U12672188,20250731,20250731;045027,BOXX,买入,3.0,113.05,0.0,3046.0,112.9935,3049.0,112.9936,
U12672188,20250731,20250731;045304,BOXX,买入,5.0,113.05,0.0,3049.0,112.9936,3054.0,112.9936,
U12672188,20250731,20250731;045834,BOXX,买入,19.0,113.05,0.01,3054.0,112.9936,3073.0,112.994,
U12672188,20250731,20250731;051311,BOXX,买入,5.0,113.05,0.0,3073.0,112.994,3078.0,112.9941,
U12672188,20250731,20250731;052218,BOXX,买入,71.0,113.05,0.04,3078.0,112.9941,3149.0,112.9954,
U12672188,20250731,20250731;052442,BOXX,买入,30.0,113.05,0.02,3149.0,112.9954,3179.0,112.9959,
U12672188,20250731,20250731;053453,BOXX,买入,20.0,113.05,0.01,3179.0,112.9959,3199.0,112.9962,
U12672188,20250731,20250731;054538,BOXX,买入,1056.0,113.05,0.55,3199.0,112.9962,4255.0,113.0097,
U12672188,20250731,20250731;054541,BOXX,买入,1.0,113.05,0.0,4255.0,113.0097,4256.0,113.0097,
U12672188,20250731,20250731;060114,BOXX,买入,1.0,113.05,0.0,4256.0,113.0097,4257.0,113.0097,
U12672188,20250731,20250731;060915,BOXX,买入,3.0,113.05,0.0,4257.0,113.0097,4260.0,113.0098,
U12672188,20250731,20250731;061942,BOXX,买入,18.0,113.05,0.01,4260.0,113.0098,4278.0,113.0099,
U12672188,20250731,20250731;070000,BOXX,买入,600.0,113.05,0.31,4278.0,113.0099,4878.0,113.0149,
U12672188,20250731,20250731;074741,BOXX,买入,5.0,113.05,0.0,4878.0,113.0149,4883.0,113.015,
U12672188,20250731,20250731;074939,BOXX,买入,30.0,113.05,0.02,4883.0,113.015,4913.0,113.0152,
U12672188,20250731,20250731;082141,BOXX,买入,1.0,113.05,0.0,4913.0,113.0152,4914.0,113.0152,
U12672188,20250731,20250731;083431,BOXX,买入,4.0,113.05,0.0,4914.0,113.0152,4918.0,113.0152,
U12672188,20250731,20250731;084604,BOXX,买入,8.0,113.05,0.0,4918.0,113.0152,4926.0,113.0153,
U12672188,20250731,20250731;084851,BOXX,买入,3.0,113.05,0.0,4926.0,113.0153,4929.0,113.0153,
U12672188,20250731,20250731;084958,BOXX,买入,60.0,113.05,0.03,4929.0,113.0153,4989.0,113.0157,
U12672188,20250731,20250731;092549,BOXX,买入,200.0,113.05,0.1,4989.0,113.0157,5189.0,113.0171,
U12672188,20250731,20250731;093411,BOXX,买入,1451.0,113.05,3.08,5189.0,113.0171,6640.0,113.0247,
U12672188,20250731,20250731;132805,MPNGY,买入,133.0,30.7,0.43,0.0,0.0,133.0,30.7032,
U12672188,20250731,20250731;133502,MPNGY,买入,200.0,30.7,0.64,133.0,30.7032,333.0,30.7032,
U12672188,20250731,20250731;133604,MPNGY,买入,1167.0,30.7,3.74,333.0,30.7032,1500.0,30.7032,
U12672188,20250731,20250731;141500,QQQ,买入,100.0,565.0,0.24,410.5339,489.9733,510.5339,504.6695,
U12672188,20250731,20250731;141630,QQQ,买入,20.0,564.0,0.33,510.5339,504.6695,530.5339,506.9067,
U12672188,20250731,20250731;155527,XIACY,买入,15.0,33.6,0.35,900.0,28.3614,915.0,28.4476,
U12672188,20250731,20250731;155646,XIACY,买入,116.0,33.6,0.07,915.0,28.4476,1031.0,29.0274,
